clip_path,true_label,car_predicted_label,car_correct,car_confidence
FieldHockeyPenalty/v_FieldHockeyPenalty_g04_c03.avi,28,28,1,0.9996563196182252
CricketShot/v_CricketShot_g03_c04.avi,23,23,1,0.9999929666519164
Haircut/v_Haircut_g07_c05.avi,33,33,1,1.0
CliffDiving/v_CliffDiving_g05_c04.avi,21,21,1,0.8521569967269897
BodyWeightSquats/v_BodyWeightSquats_g03_c05.avi,14,46,0,0.9799547791481018
FieldHockeyPenalty/v_FieldHockeyPenalty_g05_c03.avi,28,28,1,1.0
FieldHockeyPenalty/v_FieldHockeyPenalty_g05_c07.avi,28,28,1,1.0
VolleyballSpiking/v_VolleyballSpiking_g02_c01.avi,96,96,1,1.0
PlayingViolin/v_PlayingViolin_g04_c04.avi,66,66,1,1.0
ApplyLipstick/v_ApplyLipstick_g04_c04.avi,1,1,1,1.0
FrisbeeCatch/v_FrisbeeCatch_g04_c01.avi,30,30,1,1.0
TrampolineJumping/v_TrampolineJumping_g02_c03.avi,93,93,1,1.0
BenchPress/v_BenchPress_g04_c04.avi,9,9,1,1.0
CleanAndJerk/v_CleanAndJerk_g06_c03.avi,20,20,1,1.0
Swing/v_Swing_g05_c04.avi,88,88,1,1.0
PlayingSitar/v_PlayingSitar_g07_c07.avi,64,64,1,1.0
PlayingGuitar/v_PlayingGuitar_g03_c04.avi,62,62,1,1.0
PlayingGuitar/v_PlayingGuitar_g02_c03.avi,62,62,1,1.0
SoccerPenalty/v_SoccerPenalty_g03_c05.avi,84,84,1,1.0
PlayingTabla/v_PlayingTabla_g04_c02.avi,65,65,1,1.0
HorseRiding/v_HorseRiding_g06_c01.avi,41,41,1,1.0
FrontCrawl/v_FrontCrawl_g05_c03.avi,31,31,1,1.0
PushUps/v_PushUps_g04_c02.avi,71,71,1,0.9999996423721312
Rafting/v_Rafting_g04_c01.avi,72,72,1,1.0
ParallelBars/v_ParallelBars_g05_c04.avi,56,56,1,1.0
PlayingDhol/v_PlayingDhol_g05_c05.avi,60,60,1,1.0
RockClimbingIndoor/v_RockClimbingIndoor_g06_c02.avi,73,74,0,0.9410237073898317
BabyCrawling/v_BabyCrawling_g02_c03.avi,3,3,1,1.0
Shotput/v_Shotput_g04_c01.avi,78,78,1,0.999990463256836
CuttingInKitchen/v_CuttingInKitchen_g05_c06.avi,24,24,1,0.6700195074081421
BaseballPitch/v_BaseballPitch_g06_c05.avi,6,6,1,1.0
Diving/v_Diving_g06_c06.avi,25,25,1,1.0
CuttingInKitchen/v_CuttingInKitchen_g05_c01.avi,24,53,0,0.6740125417709351
PullUps/v_PullUps_g07_c04.avi,69,69,1,0.9997411370277404
JumpingJack/v_JumpingJack_g05_c05.avi,46,46,1,0.9732403755187988
Swing/v_Swing_g07_c04.avi,88,88,1,1.0
IceDancing/v_IceDancing_g01_c04.avi,43,43,1,1.0
JumpRope/v_JumpRope_g05_c03.avi,47,47,1,1.0
Lunges/v_Lunges_g03_c01.avi,51,51,1,1.0
HandstandWalking/v_HandstandWalking_g06_c01.avi,37,36,0,0.9713639616966248
Diving/v_Diving_g01_c03.avi,25,25,1,1.0
CuttingInKitchen/v_CuttingInKitchen_g04_c04.avi,24,24,1,0.9997630715370178
PlayingDhol/v_PlayingDhol_g04_c03.avi,60,60,1,1.0
Diving/v_Diving_g03_c03.avi,25,25,1,1.0
FrontCrawl/v_FrontCrawl_g03_c01.avi,31,31,1,1.0
CricketShot/v_CricketShot_g06_c04.avi,23,23,1,0.8006937503814697
CleanAndJerk/v_CleanAndJerk_g07_c03.avi,20,20,1,1.0
HorseRiding/v_HorseRiding_g07_c01.avi,41,41,1,1.0
Fencing/v_Fencing_g07_c04.avi,27,27,1,1.0
JumpRope/v_JumpRope_g06_c01.avi,47,47,1,1.0
WallPushups/v_WallPushups_g05_c03.avi,98,99,0,0.9677007794380188
VolleyballSpiking/v_VolleyballSpiking_g01_c02.avi,96,96,1,1.0
Knitting/v_Knitting_g03_c02.avi,49,49,1,1.0
Billiards/v_Billiards_g04_c05.avi,11,11,1,1.0
PlayingTabla/v_PlayingTabla_g02_c02.avi,65,65,1,1.0
PommelHorse/v_PommelHorse_g01_c01.avi,68,68,1,1.0
BoxingSpeedBag/v_BoxingSpeedBag_g01_c03.avi,17,17,1,0.9986373782157898
BlowingCandles/v_BlowingCandles_g05_c01.avi,13,13,1,1.0
PlayingViolin/v_PlayingViolin_g01_c04.avi,66,66,1,0.99954092502594
CricketShot/v_CricketShot_g01_c04.avi,23,22,0,1.0
ShavingBeard/v_ShavingBeard_g07_c02.avi,77,77,1,1.0
JugglingBalls/v_JugglingBalls_g01_c01.avi,45,83,0,0.852218747138977
PlayingPiano/v_PlayingPiano_g03_c03.avi,63,63,1,1.0
Surfing/v_Surfing_g01_c02.avi,87,87,1,1.0
ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c04.avi,0,1,0,0.986753523349762
Archery/v_Archery_g06_c02.avi,2,2,1,1.0
HorseRace/v_HorseRace_g06_c05.avi,40,40,1,1.0
PushUps/v_PushUps_g02_c03.avi,71,71,1,1.0
PushUps/v_PushUps_g06_c02.avi,71,77,0,0.9480939507484436
BoxingPunchingBag/v_BoxingPunchingBag_g06_c07.avi,16,16,1,0.9999969005584716
JumpRope/v_JumpRope_g05_c04.avi,47,47,1,1.0
CleanAndJerk/v_CleanAndJerk_g01_c05.avi,20,20,1,0.9972009658813475
Shotput/v_Shotput_g07_c05.avi,78,78,1,0.9997932314872742
Basketball/v_Basketball_g04_c03.avi,7,7,1,0.9747403860092164
Typing/v_Typing_g05_c03.avi,94,94,1,0.9998581409454346
SumoWrestling/v_SumoWrestling_g05_c01.avi,86,86,1,0.999992609024048
PommelHorse/v_PommelHorse_g01_c07.avi,68,68,1,1.0
CliffDiving/v_CliffDiving_g06_c02.avi,21,21,1,1.0
FloorGymnastics/v_FloorGymnastics_g06_c07.avi,29,29,1,0.9999943971633912
